Publication Years,records,% of 488
2019,93,19.057
2018,86,17.623
2017,53,10.861
2016,62,12.705
2015,29,5.943
2014,28,5.738
2013,20,4.098
2012,11,2.254
2011,16,3.279
2010,16,3.279
2009,10,2.049
2008,6,1.23
2007,5,1.025
2006,3,0.615
2005,4,0.82
2003,3,0.615
2002,1,0.205
2001,1,0.205
2000,2,0.41
1999,1,0.205
1996,2,0.41
1995,1,0.205
