Publication Years,records,% of 86
2019,17,19.767
2018,12,13.953
2017,12,13.953
2016,8,9.302
2015,8,9.302
2014,5,5.814
2013,1,1.163
2012,2,2.326
2011,2,2.326
2010,4,4.651
2009,2,2.326
2008,2,2.326
2007,1,1.163
2006,2,2.326
2005,1,1.163
2004,1,1.163
1998,1,1.163
1996,1,1.163
1995,1,1.163
