Publication Years,records,% of 1440
2019,286,19.861
2018,326,22.639
2017,176,12.222
2016,169,11.736
2015,106,7.361
2014,61,4.236
2013,55,3.819
2012,44,3.056
2011,18,1.25
2010,27,1.875
2009,13,0.903
2008,11,0.764
2007,8,0.556
2006,4,0.278
2005,4,0.278
2003,2,0.139
1998,1,0.069
1997,1,0.069
1994,1,0.069
