Publication Years,records,% of 146
2019,32,21.918
2018,17,11.644
2017,17,11.644
2016,10,6.849
2015,10,6.849
2014,8,5.479
2013,4,2.74
2012,3,2.055
2011,8,5.479
2010,10,6.849
2009,6,4.11
2008,5,3.425
2007,4,2.74
2005,2,1.37
2004,1,0.685
2000,1,0.685
1998,1,0.685
