Publication Years,records,% of 3727
2019,802,21.519
2018,551,14.784
2017,374,10.035
2016,258,6.922
2015,193,5.178
2014,131,3.515
2013,130,3.488
2012,140,3.756
2011,120,3.22
2010,104,2.79
2009,104,2.79
2008,77,2.066
2007,79,2.12
2006,50,1.342
2005,41,1.1
2004,42,1.127
2003,18,0.483
2002,24,0.644
2001,25,0.671
2000,15,0.402
1999,14,0.376
1998,14,0.376
1997,11,0.295
1996,6,0.161
1995,9,0.241
1994,7,0.188
1993,3,0.08
1992,12,0.322
1991,1,0.027
1989,2,0.054
