Publication Years,records,% of 2771
2019,442,15.951
2018,331,11.945
2017,251,9.058
2016,250,9.022
2015,222,8.012
2014,127,4.583
2013,147,5.305
2012,102,3.681
2011,94,3.392
2010,91,3.284
2009,80,2.887
2008,64,2.31
2007,65,2.346
2006,51,1.84
2005,51,1.84
2004,39,1.407
2003,50,1.804
2002,19,0.686
2001,15,0.541
2000,22,0.794
1999,18,0.65
1998,19,0.686
1997,18,0.65
1996,9,0.325
1995,15,0.541
1994,3,0.108
1993,2,0.072
1992,5,0.18
1991,2,0.072
