Publication Years,records,% of 1184
2019,201,16.976
2018,158,13.345
2017,163,13.767
2016,142,11.993
2015,119,10.051
2014,78,6.588
2013,70,5.912
2012,48,4.054
2011,34,2.872
2010,36,3.041
2009,19,1.605
2008,9,0.76
2007,13,1.098
2006,11,0.929
2005,2,0.169
2003,3,0.253
2002,2,0.169
2001,2,0.169
1999,1,0.084
1995,1,0.084
1994,1,0.084
1992,1,0.084
1990,1,0.084
1981,2,0.169
