Publication Years,records,% of 159
2019,31,19.497
2018,29,18.239
2017,11,6.918
2016,13,8.176
2015,15,9.434
2014,9,5.66
2013,2,1.258
2012,5,3.145
2011,6,3.774
2010,3,1.887
2009,5,3.145
2008,4,2.516
2007,5,3.145
2006,1,0.629
2004,4,2.516
2003,3,1.887
1999,1,0.629
1997,1,0.629
1996,1,0.629
1993,1,0.629
1992,1,0.629
